Station,Connected Stations
Howrah Maidan([0]),Howrah Railway Station (1)
Howrah Railway Station([1]),"Howrah Maidan (0), Mahakaran (2)"
Mahakaran([2]),"Howrah Railway Station (1), Esplanade (3)"
Esplanade([3]),"Mahakaran (2), Sealdah (4), Chandni Chowk (21), Park Street (22), Park Street (22)"
Sealdah([4]),"Esplanade (3), Phoolbagan (5)"
Phoolbagan([5]),"Sealdah (4), Salt Lake Stadium (6)"
Salt Lake Stadium([6]),"Phoolbagan (5), Bengal Chemical (7)"
Bengal Chemical([7]),"Salt Lake Stadium (6), City Centre I (8)"
City Centre I([8]),"Bengal Chemical (7), Central Park (9)"
Central Park([9]),"City Centre I (8), Korunamoyee (70)"
Korunamoyee([70]),"Central Park (9), Salt Lake Sector V (10)"
Salt Lake Sector V([10]),"Korunamoyee (70), NICCO Park (58), Technopolis (59)"
Dakshineshwar([11]),Baranagar (12)
Baranagar([12]),"Dakshineshwar (11), Noapara (13)"
Noapara([13]),"Baranagar (12), Dum Dum (14), Dum Dum Cantonment (50)"
Dum Dum([14]),"Noapara (13), Belgachhia (15)"
Belgachhia([15]),"Dum Dum (14), Shyambazar (16)"
Shyambazar([16]),"Belgachhia (15), Sovabazar Sutanuti (17)"
Sovabazar Sutanuti([17]),"Shyambazar (16), Girish Park (18)"
Girish Park([18]),"Sovabazar Sutanuti (17), Mahatma Gandhi Road (19)"
Mahatma Gandhi Road([19]),"Girish Park (18), Central (20)"
Central([20]),"Mahatma Gandhi Road (19), Chandni Chowk (21)"
Chandni Chowk([21]),"Central (20), Esplanade (3)"
Park Street([22]),"Esplanade (3), Maidan (23), Victoria Memorial (49), Esplanade (3)"
Maidan([23]),"Park Street (22), Rabindra Sadan (24)"
Rabindra Sadan([24]),"Maidan (23), Netaji Bhavan (25)"
Netaji Bhavan([25]),"Rabindra Sadan (24), Jatin Das Park (26)"
Jatin Das Park([26]),"Netaji Bhavan (25), Kalighat (27)"
Kalighat([27]),"Jatin Das Park (26), Rabindra Sarovar (28)"
Rabindra Sarovar([28]),"Kalighat (27), Mahanayak Uttam Kumar (29)"
Mahanayak Uttam Kumar([29]),"Rabindra Sarovar (28), Netaji (30)"
Netaji([30]),"Mahanayak Uttam Kumar (29), Masterda Surya Sen (31)"
Masterda Surya Sen([31]),"Netaji (30), Gitanjali (32)"
Gitanjali([32]),"Masterda Surya Sen (31), Kavi Nazrul (33)"
Kavi Nazrul([33]),"Gitanjali (32), Shahid Khudiram (34)"
Shahid Khudiram([34]),"Kavi Nazrul (33), Kavi Subhas (35)"
Kavi Subhas([35]),"Shahid Khudiram (34), Satyajit Ray (43)"
Joka([36]),Thakurpukur (37)
Thakurpukur([37]),"Joka (36), Sakherbazar (38)"
Sakherbazar([38]),"Thakurpukur (37), Behala Chowrasta (39)"
Behala Chowrasta([39]),"Sakherbazar (38), Behala Bazar (40)"
Behala Bazar([40]),"Behala Chowrasta (39), Taratala (41)"
Taratala([41]),"Behala Bazar (40), Majerhat (42)"
Majerhat([42]),Taratala (41)
Satyajit Ray([43]),"Kavi Subhas (35), Jyotirindra Nath Nandy (44)"
Jyotirindra Nath Nandy([44]),"Satyajit Ray (43), Kavi Sukanta (45)"
Kavi Sukanta([45]),"Jyotirindra Nath Nandy (44), Hemanta Mukherjee (46)"
Hemanta Mukherjee([46]),Kavi Sukanta (45)
Mominpur([47]),Khidderpore (48)
Khidderpore([48]),"Mominpur (47), Victoria Memorial (49)"
Victoria Memorial([49]),"Khidderpore (48), Park Street (22)"
Dum Dum Cantonment([50]),"Noapara (13), Jessore Road (51)"
Jessore Road([51]),"Dum Dum Cantonment (50), Biman Bandar (52)"
Biman Bandar([52]),"Jessore Road (51), VIP Road (69)"
VIP Bazar([53]),Ritwik Ghatak (54)
Ritwik Ghatak([54]),"VIP Bazar (53), Barun Sengupta (55)"
Barun Sengupta([55]),"Ritwik Ghatak (54), Beliaghata (56)"
Beliaghata([56]),"Barun Sengupta (55), Gour Kishore Ghosh (57)"
Gour Kishore Ghosh([57]),"Beliaghata (56), NICCO Park (58)"
NICCO Park([58]),"Gour Kishore Ghosh (57), Salt Lake Sector V (10)"
Technopolis([59]),"Salt Lake Sector V (10), Nazrul Tirtha (60)"
Nazrul Tirtha([60]),"Technopolis (59), Swapno Bhor (61)"
Swapno Bhor([61]),"Nazrul Tirtha (60), Biswa Bangla Convention Centre (62)"
Biswa Bangla Convention Centre([62]),"Swapno Bhor (61), Kala Kshetra (63)"
Kala Kshetra([63]),"Biswa Bangla Convention Centre (62), Mother's Wax Museum (64)"
Mother's Wax Museum([64]),"Kala Kshetra (63), Eco Park (65)"
Eco Park([65]),"Mother's Wax Museum (64), Siksha Tirtha (66)"
Siksha Tirtha([66]),"Eco Park (65), City Centre II (67)"
City Centre II([67]),"Siksha Tirtha (66), Chinar Park (68)"
Chinar Park([68]),"City Centre II (67), VIP Road (69)"
VIP Road([69]),"Chinar Park (68), Biman Bandar (52)"
