Station,Connected Stations
Esplanade (3),"Chandni Chowk (21), Park Street (22)"
Dakshineshwar (11),Baranagar (12)
Baranagar (12),"Dakshineshwar (11), Noapara (13)"
Noapara (13),"Baranagar (12), Dum Dum (14)"
Dum Dum (14),"Noapara (13), Belgachhia (15)"
Belgachhia (15),"Dum Dum (14), Shyambazar (16)"
Shyambazar (16),"Belgachhia (15), Sovabazar Sutanuti (17)"
Sovabazar Sutanuti (17),"Shyambazar (16), Girish Park (18)"
Girish Park (18),"Sovabazar Sutanuti (17), Mahatma Gandhi Road (19)"
Mahatma Gandhi Road (19),"Girish Park (18), Central (20)"
Central (20),"Mahatma Gandhi Road (19), Chandni Chowk (21)"
Chandni Chowk (21),"Central (20), Esplanade (3)"
Park Street (22),"Esplanade (3), Maidan (23)"
Maidan (23),"Park Street (22), Rabindra Sadan (24)"
Rabindra Sadan (24),"Maidan (23), Netaji Bhavan (25)"
Netaji Bhavan (25),"Rabindra Sadan (24), Jatin Das Park (26)"
Jatin Das Park (26),"Netaji Bhavan (25), Kalighat (27)"
Kalighat (27),"Jatin Das Park (26), Rabindra Sarovar (28)"
Rabindra Sarovar (28),"Kalighat (27), Mahanayak Uttam Kumar (29)"
Mahanayak Uttam Kumar (29),"Rabindra Sarovar (28), Netaji (30)"
Netaji (30),"Mahanayak Uttam Kumar (29), Masterda Surya Sen (31)"
Masterda Surya Sen (31),"Netaji (30), Gitanjali (32)"
Gitanjali (32),"Masterda Surya Sen (31), Kavi Nazrul (33)"
Kavi Nazrul (33),"Gitanjali (32), Shahid Khudiram (34)"
Shahid Khudiram (34),"Kavi Nazrul (33), Kavi Subhas (35)"
Kavi Subhas (35),Shahid Khudiram (34)
