Station,Connected Stations
Salt Lake Sector V (10),"NICCO Park (58), Technopolis (59), NICCO Park (58), Technopolis (59)"
Biman Bandar (52),"VIP Road (69), VIP Road (69)"
VIP Bazar (53),"Ritwik Ghatak (54), Ritwik Ghatak (54)"
Ritwik Ghatak (54),"Barun Sengupta (55), Barun Sengupta (55)"
Barun Sengupta (55),"Beliaghata (56), Beliaghata (56)"
Beliaghata (56),"Gour Kishore Ghosh (57), Gour Kishore Ghosh (57)"
Gour Kishore Ghosh (57),"NICCO Park (58), NICCO Park (58)"
Technopolis (59),"Nazrul Tirtha (60), Nazrul Tirtha (60)"
Nazrul Tirtha (60),"Swapno Bhor (61), Swapno Bhor (61)"
Swapno Bhor (61),"Biswa Bangla Convention Centre (62), Biswa Bangla Convention Centre (62)"
Biswa Bangla Convention Centre (62),"Kala Kshetra (63), Kala Kshetra (63)"
Kala Kshetra (63),"Mother's Wax Museum (64), Mother's Wax Museum (64)"
Mother's Wax Museum (64),"Eco Park (65), Eco Park (65)"
Eco Park (65),"Siksha Tirtha (66), Siksha Tirtha (66)"
Siksha Tirtha (66),"City Centre II (67), City Centre II (67)"
City Centre II (67),"Chinar Park (68), Chinar Park (68)"
Chinar Park (68),"VIP Road (69), VIP Road (69)"
